target_id,target_name,target_type,business_fit,offer_fit,location_scope,industry_keywords,pain_keywords,intent_keywords,high_intent_signals,low_intent_signals,exclusion_signals,competitor_signals,preferred_platforms,preferred_sources,risk_level,language,status,memo,ext_json,updated_at,version
tg_corp_soumu,法人総務担当,company,trees_catering,of_catering_corporate|of_catering_bento,沖縄県,企業|法人|総務|庶務,社内イベント手配|会議弁当|懇親会準備,ケータリング 探している|弁当 注文 法人|懇親会 食事 外注,ケータリング 依頼 沖縄|社内 弁当 まとめ注文|法人 懇親会 料理,法人イベント検討中|社内行事,競合ケータリング言及,競合ケータリング,instagram|google_maps|corporate_site,google_serp|instagram_serp,low,ja,active,,{},2026-07-06,1
tg_event_company,イベント会社,event_company,trees_catering,of_catering_event|of_catering_corporate,沖縄県,イベント会社|イベントプランナー|イベント企画|展示会|催事,イベント食事手配|フード業者選び,出張ケータリング|イベント フード,ケータリング 業者 探し|展示会 食事 外注|法人パーティー フード,イベント企画中,競合ケータリング,競合ケータリング,instagram|corporate_site,google_serp|instagram_serp,low,ja,active,,{},2026-07-06,1
tg_bar_club,BAR・クラブオーナー,restaurant,trees_catering,of_catering_bar,沖縄県,BAR|クラブ|立ち飲み|夜のお店,パーティーフード手配|貸切イベント食事,パーティー フード|立食 料理,貸切 イベント フード|BAR パーティー 料理,パーティー企画,競合ケータリング,競合ケータリング,instagram,google_serp|instagram_serp,low,ja,active,,{},2026-07-06,1
tg_hotel_venue,ホテル・会場担当,hotel,trees_catering,of_catering_hotel,沖縄県,ホテル|宴会場|レンタルスペース|会議室|イベントスペース,宴会フード補完|外部委託先探し,ケータリング 外部委託|宴会 フード 補完,宴会 外部 ケータリング|ホテル 料理 下請け,宴会担当,競合ケータリング,競合ケータリング,corporate_site|google_maps,google_serp,low,ja,active,,{},2026-07-06,1
tg_tourist_okinawa,沖縄旅行者,tourist_individual,tachinomiya|ryukyu_hotpot,of_tachinomiya_visit|of_hotpot_inbound,沖縄県（来県者）,旅行|観光|グルメ|食べ歩き|国際通り,どこ行く 沖縄|国際通り おすすめ,国際通り BAR|沖縄 立ち飲み|沖縄旅行 グルメ,国際通り 飲み 今日|沖縄 一人旅 ご飯,沖縄旅行計画中,競合店舗,競合飲食店,instagram|threads|twitter,google_serp|instagram_serp|threads_serp,low,ja,active,,{},2026-07-06,1
tg_inbound_tourist,インバウンド観光客,tourist_individual,ryukyu_hotpot,of_hotpot_inbound,沖縄県（来県者）,Okinawa travel|Japan tourism|Naha|Okinawa food,where to eat Okinawa|Okinawa dinner recommendation,Okinawa birthday dinner|Okinawa anniversary restaurant|Naha premium dinner,Okinawa dinner tonight|best restaurant Naha|wagyu Okinawa,Okinawa travel planning,competitor restaurants,competitor premium restaurants,instagram|google_maps|travel_media,google_serp|instagram_serp,low,en,active,,{},2026-07-06,1
tg_celebration_diner,誕生日・記念日需要層,local_individual,ryukyu_hotpot,of_hotpot_celebration,沖縄県,誕生日|記念日|お祝い|サプライズ,特別なレストラン探し|記念日ディナー,誕生日ディナー 沖縄|記念日 那覇 レストラン,誕生日ディナー 予約 沖縄|記念日 ディナー 沖縄,記念日計画中,競合高級店,競合高級レストラン,instagram|google_maps,google_serp|instagram_serp,low,ja,active,,{},2026-07-06,1
tg_hotel_partner,ホテル・旅行会社（パートナー候補）,hotel,ryukyu_hotpot|tachinomiya,of_hotpot_partner,沖縄県,ホテル|旅行会社|ツアー会社|コンシェルジュ|旅行メディア,レストラン紹介先探し|宿泊者ディナー導線,ホテル コンシェルジュ おすすめ|旅行会社 沖縄 グルメ連携,ホテル 那覇 ディナー紹介|旅行会社 レストラン 提携,パートナー探し中,競合提携先,競合レストラン,corporate_site|google_maps,google_serp,low,ja,active,,{},2026-07-06,1
tg_beauty_local,地域美容関心層,local_individual,tree_beauty,of_beauty_removal|of_beauty_whitening|of_beauty_yomogi,沖縄県西原・浦添・那覇,美容|脱毛|ホワイトニング|よもぎ蒸し|温活,脱毛サロン探し|ホワイトニング気になる|よもぎ蒸し体験したい,脱毛 沖縄|ホワイトニング 那覇|よもぎ蒸し 西原,脱毛 サロン 口コミ 沖縄|ホワイトニング 体験 那覇,美容関心あり,カッピング関連|医療系,競合美容サロン,instagram,instagram_serp|google_serp,low,ja,inactive,,{},2026-07-06,1
tg_beauty_partner,美容コラボ候補（相互送客）,salon,tree_beauty,of_beauty_collab,沖縄県西原・浦添・那覇,美容室|ネイルサロン|まつ毛サロン|エステ|リラク,コラボ先探し|相互送客したい,美容室 コラボ 沖縄|ネイルサロン 相互送客,サロン コラボ 那覇|美容 イベント 沖縄,コラボ・地域活動参加,カッピング主軸|競合,競合美容サロン,instagram,instagram_serp,low,ja,inactive,,{},2026-07-06,1
tg_store_owner_ai,小規模店舗オーナー（AI集客悩み）,store_owner,ai_net_business,of_ai_kit|of_ai_template,沖縄・全国,飲食店|カフェ|美容サロン|整体院|地域ビジネス,SNSが続かない|投稿ネタがない|AIの使い方が分からない,AI集客|自動投稿|Instagram運用 困り,SNS 更新 止まった|口コミ 返信 大変|Google投稿 やり方,AI・集客改善検討中,競合MEO業者|情報商材,競合AI集客ツール,instagram|threads|google_maps,google_serp|instagram_serp|threads_serp,low,ja,active,,{},2026-07-06,1
