business_id,business_name,candidate_name,url,platform,candidate_type,has_inquiry_url,match_reason,lead_score,verdict,dm_text,data_source,serpapi_used,cost_usd,reviewed_at,send_date,sender,send_status,reply_status,next_action,memo
trees_catering,Trees Catering,琉球エンターテイメント株式会社 | 沖縄のイベント企画・運営,https://ryukyu-entertainment.co.jp/contact,google_serp,event_company,True,イベント会社は最優先。食事手配が直接需要に一致,9,SEND_READY,はじめまして！沖縄でケータリングを運営しているTREE'sです。法人懇親会や展示会のフード手配でよくお声がけいただきます。よろしければ一度、お話を聞かせていただけますか？,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
trees_catering,Trees Catering,OKINAWAレンタルスペース那覇 | 会議室・パーティースペース,https://okinawa-rentalspace-naha.com,google_serp,rental_space,True,レンタルスペースは飲食手配を探している確率高,8,SEND_READY,はじめまして、出張ケータリングのTREE'sです。貴社スペースでのパーティーやイベントにフードをご提供できればと思いご連絡しました。ご利用者様へのご案内など、お役に立てることがあればぜひ。,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
trees_catering,Trees Catering,@naha_event_planner | Instagram,https://www.instagram.com/naha_event_planner/,instagram_serp,event_planner,False,IGアカウント。問い合わせ先が不明のためDM文調整要,7,REVISE,はじめまして！沖縄のケータリングTREE'sです。懇親会・誕生日会などのフード手配でよくお仕事いただいています。コラボや案件ご紹介いただける機会があればとDMしました😊,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
trees_catering,Trees Catering,沖縄建設業協会 | 業界交流・懇親会,https://okinawa-kensetsu-kyokai.jp,google_serp,industry_association,True,業界団体は年1〜2回の需要。庶務担当への直接アプローチ必要,6,REVISE,突然のご連絡失礼します。沖縄のケータリングTREE'sです。法人懇親会や総会のお食事手配でお役に立てればと思いご連絡しました。よろしければご担当の方にお繋ぎいただけますか。,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
trees_catering,Trees Catering,ダブルツリーbyヒルトン那覇 | 宴会・ウェディング,https://doubletree-naha.co.jp/banquet,google_serp,hotel,True,ホテルは既に内製 or 既存業者がいる可能性。パートナー打診から,5,HOLD,はじめまして、出張ケータリングのTREE'sです。宴会・レセプションの外部フード補完でご協力できることがあればと思いご連絡しました。お力添えできる機会があればぜひ。,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
tachinomiya,TACHINOMIYA,@okinawa_travel_guide2024 | Instagram,https://www.instagram.com/okinawa_travel_guide2024/,instagram_serp,tourism_media,False,旅行IG12k。送客・PRで直接来店につながる最優先,9,SEND_READY,はじめまして！国際通りの立ち飲みBAR・TACHINOMIYAです。沖縄旅行の投稿いつも拝見してます🌺 もしよければ2軒目スポットとしてご紹介いただけたら嬉しいです！,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
tachinomiya,TACHINOMIYA,ゲストハウスTRIP那覇 | 国際通り徒歩5分,https://guesthouse-trip-naha.com,google_serp,guesthouse,True,国際通り徒歩5分。スタッフから2軒目で紹介してもらえる,8,SEND_READY,はじめまして、国際通りの立ち飲みBAR・TACHINOMIYAです。ゲストハウスのご宿泊者様に、2軒目の候補としてご紹介いただける機会があればとDMしました。よろしければ一度ご来店ください😊,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
tachinomiya,TACHINOMIYA,OKINAWAグルメナビ | 国際通り特集,https://okinawa-gourmet-navi.com/kokusaidori,google_serp,gourmet_media,True,掲載料が発生する可能性あり。無料掲載交渉か相互紹介提案に変更,7,REVISE,はじめまして！国際通りの立ち飲みBAR・TACHINOMIYAです。サーターアンダギーが食べられる唯一のBAR🍩として掲載のご相談ができればと思いご連絡しました。,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
tachinomiya,TACHINOMIYA,@kokusaidori_foodie | Instagram,https://www.instagram.com/kokusaidori_foodie/,instagram_serp,local_foodie_account,False,フォロワー数・影響力が不明。調査後判断,4,HOLD,はじめまして！国際通りの立ち飲みBAR・TACHINOMIYAです。食べ歩き投稿いつも参考にしています🌺 もしよければ一度ご来店いただけますか？,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
tachinomiya,TACHINOMIYA,JTB沖縄 | 観光・ツアー予約,https://jtb-okinawa.co.jp,google_serp,tour_company,True,JTBは大手すぎて個人DM不向き。担当部署への正式アプローチへ変更,6,REVISE,突然のご連絡失礼します。国際通りの立ち飲みBAR・TACHINOMIYAです。沖縄旅行のお客様に2軒目や軽飲食の場所としてご案内いただける機会があればと思いご連絡しました。担当の方にお繋ぎいただけますか。,fake_serp_realistic_mock,false,0.00,2026-07-07,,,未送信,,,
