candidate_name,url,platform,old_verdict,url_check_method,final_url_verdict,final_verdict,reply_ready,reason,data_source,action,finalized_at
那覇市の美容サロンmiel（ミエル）,https://www.instagram.com/miel_naha_beauty/,instagram,SEND_READY,smartphone_manual,NOT_FOUND,EXCLUDE,False,スマホInstagramで @miel_naha_beauty を検索 → 存在しない,fake_serp_realistic_mock,除外,2026-07-08T16:56:26
沖縄そば専門店オーナーのThreads,https://www.threads.net/@okinawa_soba_owner,threads,SEND_READY,smartphone_manual,NOT_FOUND,EXCLUDE,False,スマホThreadsで @okinawa_soba_owner を検索 → 存在しない,fake_serp_realistic_mock,除外,2026-07-08T16:56:26
那覇市 整体院かずま,https://maps.google.com/?q=整体院かずま+那覇,google_maps,SEND_READY,http_check,MOCK_ONLY,EXCLUDE,False,検索クエリURL（?q=）は特定ビジネスへの直リンクではない。mock生成フォーマット,fake_serp_realistic_mock,除外（実ビジネスは別途Googleマップで実際に検索して特定が必要）,2026-07-08T16:56:26
@izakaya_okinawa_keiko,https://www.instagram.com/izakaya_okinawa_keiko/,instagram,SEND_READY,smartphone_manual,NOT_FOUND,EXCLUDE,False,スマホInstagramで @izakaya_okinawa_keiko を検索 → 存在しない,fake_serp_realistic_mock,除外,2026-07-08T16:56:26
ネイルサロン経営者 IG: @nail_okinawa_mika,https://www.instagram.com/nail_okinawa_mika/,instagram,SEND_READY,smartphone_manual,NOT_FOUND,EXCLUDE,False,スマホInstagramで @nail_okinawa_mika を検索 → 存在しない,fake_serp_realistic_mock,除外,2026-07-08T16:56:26
沖縄カフェ経営10年 note,https://note.com/okinawa_cafe10years/,note,REVISE,http_check,PRIVATE_OR_REMOVED,EXCLUDE,False,HTTP 404。noteアカウントが存在しない,fake_serp_realistic_mock,除外,2026-07-08T16:56:26
浦添市 エステサロン hinata,https://www.instagram.com/esthe_hinata_urasoe/,instagram,REVISE,smartphone_manual,NOT_FOUND,EXCLUDE,False,スマホInstagramで @esthe_hinata_urasoe を検索 → 存在しない,fake_serp_realistic_mock,除外,2026-07-08T16:56:26
Threads: @okinawa_gym_owner,https://www.threads.net/@okinawa_gym_owner,threads,REVISE,smartphone_manual,NOT_FOUND,EXCLUDE,False,スマホThreadsで @okinawa_gym_owner を検索 → 存在しない,fake_serp_realistic_mock,除外,2026-07-08T16:56:26
沖縄 美容師向けSNS副業コンサル会社,https://beauty-sns-consulting.co.jp,google_serp,EXCLUDE,http_check,MOCK_ONLY,EXCLUDE,False,DNS解決不能。ドメイン実在しない。競合候補,fake_serp_realistic_mock,除外,2026-07-08T16:56:26
AI副業コミュニティ（Brain） 沖縄支部,https://brain.base.ec/products/ai-fukugyou-okinawa,google_serp,EXCLUDE,http_check,MOCK_ONLY,EXCLUDE,False,情報商材競合。除外,fake_serp_realistic_mock,除外,2026-07-08T16:56:26
