playbook_id,business_id,offer_id,target_id,goal,primary_sources,fallback_sources,query_strategy,required_fields,risk_rules,dedupe_keys,max_results_per_run,cost_limit_per_run,status,memo,ext_json,updated_at,version
pb_catering_corp,trees_catering,of_catering_corporate|of_catering_bento,tg_corp_soumu,沖縄県内の法人総務・企業のイベント担当を発掘しinquiry_urlを取得,google_serp,instagram_serp,qt_corp_event|qt_pain_ig,company_name|website_url|inquiry_url|location,rc_competitor_catering|rc_no_inquiry_url,lower(domain)|lower(username),20,0.50,active,,{},2026-07-06,1
pb_catering_event,trees_catering,of_catering_event,tg_event_company,沖縄県内のイベント会社・展示会運営を発掘,google_serp,instagram_serp,qt_corp_event|qt_partner,company_name|website_url|inquiry_url,rc_competitor_catering,lower(domain)|lower(username),20,0.50,active,,{},2026-07-06,1
pb_catering_bar,trees_catering,of_catering_bar,tg_bar_club,沖縄のBAR・クラブオーナーを発掘（IG経由）,instagram_serp,google_serp,qt_pain_ig|qt_partner,account_name|account_url|account_username,rc_competitor_catering,lower(username)|canonical(url),20,0.50,active,,{},2026-07-06,1
pb_catering_hotel,trees_catering,of_catering_hotel,tg_hotel_venue,沖縄のホテル・宴会場の担当窓口を発掘,google_serp,instagram_serp,qt_corp_event,company_name|website_url|inquiry_url|location,rc_competitor_catering,lower(domain),15,0.50,active,,{},2026-07-06,1
pb_tachinomiya_tourist,tachinomiya,of_tachinomiya_visit,tg_tourist_okinawa,国際通り・沖縄旅行関連発信者と来店動機コンテンツを発掘,google_serp|instagram_serp,threads_serp,qt_pain_ig|qt_partner,account_name|account_url|post_url,rc_competitor_bar,lower(username)|canonical(url),20,0.50,active,,{},2026-07-06,1
pb_hotpot_inbound_en,ryukyu_hotpot,of_hotpot_inbound,tg_inbound_tourist,英語インバウンドクエリで沖縄ディナー需要コンテンツを発掘,google_serp,instagram_serp,qt_inbound_en,account_name|account_url|post_url|post_text,rc_competitor_hotpot,lower(username)|canonical(url),20,0.50,active,,{},2026-07-06,1
pb_hotpot_celebration,ryukyu_hotpot,of_hotpot_celebration,tg_celebration_diner,誕生日・記念日ディナー需要の投稿・アカウントを発掘,google_serp|instagram_serp,threads_serp,qt_pain_ig,account_name|account_url|post_url|post_text,rc_competitor_hotpot,lower(username)|canonical(url),20,0.50,active,,{},2026-07-06,1
pb_hotpot_partner,ryukyu_hotpot,of_hotpot_partner,tg_hotel_partner,ホテル・旅行会社のパートナー候補を発掘,google_serp,instagram_serp,qt_corp_event|qt_partner,company_name|website_url|inquiry_url,rc_competitor_hotpot,lower(domain),15,0.50,active,,{},2026-07-06,1
pb_beauty_local,tree_beauty,of_beauty_removal|of_beauty_whitening|of_beauty_yomogi,tg_beauty_local,沖縄・那覇・西原エリアの脱毛・ホワイトニング・よもぎ蒸し関心投稿を発掘,instagram_serp,google_serp,qt_pain_ig,account_name|account_url|post_url|post_text,rc_tree_beauty_cupping|rc_medical_claim,lower(username)|canonical(url),20,0.50,active,,{},2026-07-06,1
pb_beauty_collab,tree_beauty,of_beauty_collab,tg_beauty_partner,沖縄の美容室・ネイル・まつ毛サロンのコラボ候補を発掘,instagram_serp,google_serp,qt_partner,account_name|account_url|account_username,rc_tree_beauty_cupping,lower(username),15,0.50,active,,{},2026-07-06,1
pb_ai_store_owner,ai_net_business,of_ai_kit|of_ai_template,tg_store_owner_ai,SNS・AI集客に悩む小規模店舗オーナーを全国で発掘,google_serp|instagram_serp,threads_serp,qt_pain_ig|qt_corp_event,account_name|account_url|post_url|post_text,rc_ai_info_product|rc_meo_agency,lower(username)|canonical(url),20,0.50,active,,{},2026-07-06,1
pb_consulting_store,consulting,of_consulting_store,tg_store_owner_ai,集客改善コンサル候補（飲食・美容の悩み事業者）を沖縄中心で発掘,google_serp|instagram_serp,threads_serp,qt_pain_ig,account_name|account_url|post_url|company_name,rc_consulting_competitor,lower(username)|lower(domain),15,0.50,active,,{},2026-07-06,1
