verdict,lead_score,business_id,candidate_name,url,platform,candidate_type,pain_signal,offer,match_reason,has_contact,risk,dm_text,send_date,sender,send_status,reply_status,next_action,memo
SEND_READY,10,ai_net_business,那覇市の美容サロンmiel（ミエル）,https://www.instagram.com/miel_naha_beauty/,instagram,beauty_salon_sns_struggle,「投稿がなかなか続かない😥 AI使える人うらやましい」 ← 2週間前の投稿,SNS投稿自動化テンプレート / AI店舗集客7日間立て直しキット,SNS更新困難を公開投稿。小規模サロン経営者でAI興味あり。即座に悩みが一致,True,なし,はじめまして！私も沖縄で実店舗を運営しながらAI投稿の仕組みを作っています。SNS更新が続かないお悩み、AI＋テンプレートで週1作業にできる方法があります😊よろしければ詳細をお送りしてよいですか？,,,未送信,,,
SEND_READY,10,ai_net_business,沖縄そば専門店オーナーのThreads,https://www.threads.net/@okinawa_soba_owner,threads,restaurant_gbp_inactive,「Google投稿ってやった方がいいの？やり方わからなくて放置中...」,Googleビジネスプロフィール自動投稿構築手順書 / GAS×Gemini API構築手順書,Google投稿放置を公開投稿。飲食店オーナーで課題が明確,True,なし,はじめまして！飲食店のGoogle投稿・Googleマップ集客をAIで自動化する仕組みを作っています。Google投稿の更新、AIとGASで月2〜4本を自動化できますよ。詳細を送ってもよいですか？,,,未送信,,,
SEND_READY,9,ai_net_business,那覇市 整体院かずま,https://maps.google.com/?q=整体院かずま+那覇,google_maps,store_gbp_inactive,Googleビジネスプロフィール最終投稿8ヶ月前。口コミ返信なし。営業中表示のみ,Googleビジネスプロフィール自動投稿構築手順書,GBP放置が明確。整体院は集客困難な業態で即金ニーズが高い,False,連絡先不明→Instagram/電話で確認要,はじめまして。整体院向けのGoogleマップ集客自動化をサポートしています。GBPの投稿を月数本AIで自動化できる仕組みがあります。よろしければ詳細をご連絡してもよいですか？,,,未送信,,,
SEND_READY,9,ai_net_business,@izakaya_okinawa_keiko,https://www.instagram.com/izakaya_okinawa_keiko/,instagram,restaurant_owner_ai_interest,「SNS更新がんばりたいけど毎日は無理。週1でもできたらいいな。AIとか使えばいいのかな」,SNS投稿自動化テンプレート / AI店舗集客7日間立て直しキット,居酒屋オーナー女性。週1投稿の希望＋AI関心が合致。話しかけやすい文体,True,なし,はじめまして！私も沖縄で飲食店を運営しながらAI集客の仕組みを作っています🍜週1でもできる投稿自動化の型をよろしければご紹介できますか？,,,未送信,,,
SEND_READY,9,ai_net_business,ネイルサロン経営者 IG: @nail_okinawa_mika,https://www.instagram.com/nail_okinawa_mika/,instagram,store_chatgpt_tried,「ChatGPT使ってみたけどよくわからなかった😅 店舗集客に使えないかな？」← 先週の投稿,Claude Codeスターターキット / 店舗オーナー向けAI投稿サポート,ChatGPT挑戦済みで行動力あり。次のステップとして当商品が自然に刺さる,True,なし,はじめまして！ChatGPT使ってみたとのこと、すごいです👏店舗集客に特化したAI活用の型（投稿・Googleマップ・返信自動化）がありますよ😊よろしければ詳細をお送りしましょうか？,,,未送信,,,
REVISE,8,ai_net_business,沖縄カフェ経営10年 note: AI集客を試してみた,https://note.com/okinawa_cafe10years/,note,ai_early_adopter_note,noteでAI集客体験談を発信中。フォロワー200人程度。Brain購入歴あり,AIネットビジネス構築サポート / Brain / note商品 / コンサル導線,AI自動化の早期ユーザー。自分でも発信しており、商品購入→紹介者になる可能性あり,True,既にAI活用中。上位商品・コンサル提案に文面変更が必要,noteいつも読んでいます！AI集客を実践されているんですね。自分も店舗経営しながらGoogleマップ自動投稿の仕組みを構築したのですが、もし興味あればコンサル・サポートの詳細をお送りしてよいですか？,,,未送信,,,
REVISE,8,ai_net_business,浦添市 エステサロン hinata,https://www.instagram.com/esthe_hinata_urasoe/,instagram,salon_sns_stopped,最終投稿3ヶ月前。プロフィールに「投稿少なめですがお気軽に」の一文あり,SNS投稿自動化テンプレート,投稿が止まっているサロン。復帰のきっかけとして投稿テンプレが刺さりやすい,True,投稿停止が3ヶ月。廃業・長期休暇の可能性を事前確認推奨,はじめまして！サロン向けのSNS投稿テンプレートを作っています。週1〜月2本でも継続できるAI投稿の仕組みがあります😊よろしければ詳細をお送りしてよいですか？,,,未送信,,,
REVISE,8,ai_net_business,Threads: @okinawa_gym_owner,https://www.threads.net/@okinawa_gym_owner,threads,gym_owner_acquisition_pain,「新規客が全然来ない。Googleとかインスタをもっとやらなきゃとは思ってるけど...」,Googleビジネスプロフィール自動投稿構築手順書 / AI店舗集客7日間立て直しキット,ジムオーナーの集客悩み。GBP＋SNSの二正面で提案できる,True,GBP放置確認が必要。Threadsなのでフォロー+DMが自然,はじめまして！ジム・整体向けのGoogle集客自動化をサポートしています。GBP投稿＋SNS更新をAIで同時に対応できる仕組みがありますよ。詳細を送ってもよいですか？,,,未送信,,,
EXCLUDE,1,ai_net_business,沖縄 美容師向けSNS副業コンサル会社,https://beauty-sns-consulting.co.jp,google_serp,competitor_sns_consulting,同業のSNS集客コンサル会社。美容師向けに情報商材を販売中,なし（競合）,競合企業。除外対象,False,競合企業。絶対除外,,,,未送信,,,
EXCLUDE,1,ai_net_business,AI副業コミュニティ（Brain） 沖縄支部,https://brain.base.ec/products/ai-fukugyou-okinawa,google_serp,info_product_community,情報商材系コミュニティ。参加費あり。副業・不労所得訴求,なし（情報商材競合）,情報商材コミュニティ。対象外,False,情報商材系。除外,,,,未送信,,,
